Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas49       Pavarde49       9	2	8	6	6	1	10	3	5	7	
Vardas50       Pavarde50       10	1	3	8	7	7	10	10	2	1	
Vardas51       Pavarde51       4	8	7	10	1	8	3	2	2	7	
Vardas52       Pavarde52       4	2	9	2	10	9	7	8	1	9	
Vardas53       Pavarde53       4	4	8	9	10	9	4	3	8	5	
Vardas54       Pavarde54       3	8	5	2	6	10	6	3	3	5	
Vardas55       Pavarde55       8	7	1	2	8	9	5	3	3	3	
Vardas56       Pavarde56       10	8	6	9	6	5	8	4	1	9	
Vardas57       Pavarde57       2	6	8	3	3	8	4	6	8	8	
Vardas58       Pavarde58       10	4	2	8	7	3	10	3	7	6	
Vardas59       Pavarde59       3	1	4	4	2	7	5	2	1	10	
Vardas60       Pavarde60       1	1	5	10	10	7	9	2	7	4	
Vardas61       Pavarde61       4	7	5	6	10	2	8	7	2	1	
Vardas62       Pavarde62       5	6	10	8	9	5	7	10	9	2	
Vardas63       Pavarde63       1	10	4	5	5	6	2	4	8	8	
Vardas64       Pavarde64       9	7	2	6	3	4	1	4	10	9	
Vardas65       Pavarde65       4	9	8	7	2	5	7	9	8	3	
Vardas66       Pavarde66       2	7	10	9	3	10	2	7	4	8	
Vardas67       Pavarde67       4	4	6	1	9	7	10	8	10	7	
Vardas68       Pavarde68       10	8	4	9	9	3	4	4	10	1	
Vardas69       Pavarde69       4	3	4	6	8	5	6	3	3	5	
Vardas70       Pavarde70       2	9	1	4	8	8	2	2	2	5	
Vardas71       Pavarde71       7	5	1	4	2	1	3	9	10	4	
Vardas72       Pavarde72       1	7	1	8	7	6	5	4	2	2	
Vardas73       Pavarde73       3	4	6	1	10	6	2	8	8	1	
Vardas74       Pavarde74       2	4	7	7	6	4	4	1	9	8	
Vardas75       Pavarde75       10	6	2	4	10	8	4	1	4	10	
Vardas76       Pavarde76       10	1	9	2	4	3	6	8	6	6	
Vardas77       Pavarde77       1	6	2	3	2	9	2	4	5	10	
Vardas78       Pavarde78       2	3	1	5	7	6	9	10	1	6	
Vardas79       Pavarde79       2	3	3	7	3	7	7	10	1	8	
Vardas80       Pavarde80       6	8	8	6	3	3	3	3	1	7	
Vardas81       Pavarde81       1	1	10	8	2	2	4	6	3	9	
Vardas82       Pavarde82       7	4	3	6	1	1	4	8	2	2	
Vardas83       Pavarde83       3	10	7	7	9	7	8	2	4	4	
Vardas84       Pavarde84       9	5	10	2	2	7	9	10	5	9	
Vardas85       Pavarde85       4	6	8	8	5	10	7	7	4	10	
Vardas86       Pavarde86       1	4	7	6	6	9	1	2	1	8	
Vardas87       Pavarde87       6	6	9	6	1	2	3	4	8	3	
Vardas88       Pavarde88       10	1	7	9	5	10	3	1	3	8	
Vardas89       Pavarde89       8	9	7	3	4	5	1	6	5	3	
Vardas90       Pavarde90       7	1	3	5	2	9	3	3	8	1	
Vardas91       Pavarde91       8	4	10	5	5	4	5	10	6	8	
Vardas92       Pavarde92       6	1	5	8	3	7	7	8	2	9	
Vardas93       Pavarde93       2	5	1	6	1	7	7	4	2	5	
Vardas94       Pavarde94       6	6	9	1	4	10	7	4	7	9	
Vardas95       Pavarde95       7	1	9	4	5	7	2	3	4	5	
Vardas96       Pavarde96       10	2	9	1	10	4	10	6	8	5	
Vardas97       Pavarde97       4	8	9	4	2	8	9	5	10	2	
Vardas98       Pavarde98       7	4	5	9	5	4	9	3	1	6	
Vardas99       Pavarde99       4	2	4	3	8	9	4	6	8	2	
Vardas100      Pavarde100      4	8	7	7	4	8	10	5	2	3	
Vardas101      Pavarde101      8	8	9	3	10	8	4	3	5	4	
Vardas102      Pavarde102      4	3	3	5	9	5	6	6	2	8	
Vardas103      Pavarde103      1	8	9	3	6	6	1	7	6	6	
Vardas104      Pavarde104      4	2	6	9	9	4	4	1	8	8	
Vardas105      Pavarde105      6	10	9	2	2	2	1	9	8	2	
Vardas106      Pavarde106      2	5	9	4	8	9	6	4	3	6	
Vardas107      Pavarde107      6	6	8	5	7	1	9	3	1	5	
Vardas108      Pavarde108      9	4	3	7	7	2	10	5	5	1	
Vardas109      Pavarde109      7	10	3	2	5	6	10	5	3	1	
Vardas110      Pavarde110      3	1	9	1	3	1	5	9	2	8	
Vardas111      Pavarde111      3	8	5	9	10	10	9	6	6	10	
Vardas112      Pavarde112      2	10	1	10	1	1	4	5	6	3	
Vardas113      Pavarde113      3	5	10	1	3	1	4	1	1	7	
Vardas114      Pavarde114      6	3	1	10	3	5	6	4	9	2	
Vardas115      Pavarde115      2	1	3	10	4	2	1	8	5	7	
Vardas116      Pavarde116      8	9	3	1	9	10	4	5	5	8	
Vardas117      Pavarde117      9	8	8	6	10	10	1	1	7	6	
Vardas118      Pavarde118      4	4	4	2	8	8	9	1	5	2	
Vardas119      Pavarde119      4	7	3	8	9	2	9	10	7	10	
Vardas120      Pavarde120      8	8	2	1	4	6	4	1	2	4	
Vardas121      Pavarde121      9	5	1	9	8	7	8	2	2	2	
Vardas122      Pavarde122      8	8	7	10	1	5	10	6	9	7	
Vardas123      Pavarde123      6	6	8	3	1	7	2	2	8	2	
Vardas124      Pavarde124      2	10	6	8	7	4	8	6	8	8	
Vardas125      Pavarde125      9	5	4	5	7	1	5	1	6	2	
Vardas126      Pavarde126      7	9	7	2	2	8	3	9	7	9	
Vardas127      Pavarde127      8	6	10	1	8	2	5	5	3	9	
Vardas128      Pavarde128      5	9	3	9	10	5	7	2	2	4	
Vardas129      Pavarde129      5	8	3	7	2	6	1	1	5	2	
Vardas130      Pavarde130      7	3	8	8	9	7	4	6	3	1	
Vardas131      Pavarde131      9	7	1	6	1	4	2	9	6	3	
Vardas132      Pavarde132      9	3	5	8	5	10	1	4	10	5	
Vardas133      Pavarde133      3	10	2	2	2	8	5	6	3	8	
Vardas134      Pavarde134      9	10	9	3	6	3	9	3	8	2	
Vardas135      Pavarde135      2	5	10	3	4	10	6	6	4	7	
Vardas136      Pavarde136      4	6	1	3	9	9	7	5	5	6	
Vardas137      Pavarde137      5	5	6	9	7	7	5	3	4	9	
Vardas138      Pavarde138      7	3	1	5	1	1	2	4	10	6	
Vardas139      Pavarde139      10	4	9	9	7	7	10	5	10	2	
Vardas140      Pavarde140      8	9	8	10	5	2	6	3	2	1	
Vardas141      Pavarde141      1	3	3	3	3	6	1	1	1	1	
Vardas142      Pavarde142      1	8	10	6	3	10	7	9	5	9	
Vardas143      Pavarde143      5	9	8	6	8	2	4	6	3	1	
Vardas144      Pavarde144      3	6	9	2	8	10	2	3	1	10	
Vardas145      Pavarde145      6	4	7	10	6	8	2	2	9	10	
Vardas146      Pavarde146      1	2	3	7	5	4	6	2	3	1	
Vardas147      Pavarde147      7	8	1	6	7	2	6	9	2	4	
Vardas148      Pavarde148      2	5	3	9	8	2	1	5	8	7	
Vardas149      Pavarde149      3	2	1	6	10	9	3	10	8	1	
Vardas150      Pavarde150      10	10	6	1	2	4	9	4	2	6	
Vardas151      Pavarde151      10	1	3	5	8	7	7	4	3	4	
Vardas152      Pavarde152      8	4	3	3	3	2	3	8	6	7	
Vardas153      Pavarde153      7	5	10	4	5	3	9	5	1	1	
Vardas154      Pavarde154      7	2	10	1	1	5	10	7	4	3	
Vardas155      Pavarde155      5	3	6	5	7	2	9	6	1	7	
Vardas156      Pavarde156      2	6	3	2	4	4	3	2	6	8	
Vardas157      Pavarde157      8	9	3	7	9	3	8	5	8	3	
Vardas158      Pavarde158      1	6	4	4	4	10	10	8	7	1	
Vardas159      Pavarde159      5	3	6	3	3	1	3	9	8	10	
Vardas160      Pavarde160      10	9	8	9	1	4	2	5	8	6	
Vardas161      Pavarde161      9	1	7	4	7	8	7	3	2	9	
Vardas162      Pavarde162      9	2	6	7	3	10	3	4	5	8	
Vardas163      Pavarde163      10	4	6	1	10	2	8	8	8	4	
Vardas164      Pavarde164      5	2	6	3	7	7	2	9	1	9	
Vardas165      Pavarde165      8	1	8	2	4	2	8	8	3	6	
Vardas166      Pavarde166      10	2	3	6	8	6	7	9	5	8	
Vardas167      Pavarde167      1	7	9	5	4	2	5	5	5	3	
Vardas168      Pavarde168      2	4	3	3	2	6	1	10	2	9	
Vardas169      Pavarde169      8	8	8	7	7	7	5	1	7	6	
Vardas170      Pavarde170      3	2	5	8	2	4	5	2	4	10	
Vardas171      Pavarde171      9	4	9	4	3	4	1	10	4	4	
Vardas172      Pavarde172      1	6	1	10	1	8	6	1	7	4	
Vardas173      Pavarde173      6	6	4	4	6	1	3	5	9	10	
Vardas174      Pavarde174      3	7	1	1	4	1	8	7	2	10	
Vardas175      Pavarde175      7	4	4	10	5	5	9	2	4	6	
Vardas176      Pavarde176      5	5	9	2	6	2	3	2	7	8	
Vardas177      Pavarde177      9	7	7	9	4	6	10	8	1	8	
Vardas178      Pavarde178      8	7	8	6	6	5	6	5	9	8	
Vardas179      Pavarde179      9	3	6	9	9	10	2	9	6	3	
Vardas180      Pavarde180      4	9	8	4	2	3	1	6	1	10	
Vardas181      Pavarde181      2	6	10	3	2	7	4	9	5	9	
Vardas182      Pavarde182      1	5	5	8	9	6	4	9	5	3	
Vardas183      Pavarde183      10	6	7	1	4	3	8	3	8	8	
Vardas184      Pavarde184      2	7	6	3	9	1	8	5	8	10	
Vardas185      Pavarde185      2	3	2	6	4	8	3	8	2	3	
Vardas186      Pavarde186      7	6	10	6	1	2	4	6	4	1	
Vardas187      Pavarde187      4	9	4	5	3	8	4	6	9	6	
Vardas188      Pavarde188      6	7	4	3	6	8	8	7	3	8	
Vardas189      Pavarde189      4	4	9	8	7	1	4	9	1	7	
Vardas190      Pavarde190      1	7	10	8	1	10	2	3	7	9	
Vardas191      Pavarde191      3	3	2	5	6	6	10	5	7	2	
Vardas192      Pavarde192      5	6	5	9	6	3	1	3	9	2	
Vardas193      Pavarde193      5	1	6	10	6	8	6	4	6	7	
Vardas194      Pavarde194      9	7	8	3	1	7	9	2	4	10	
Vardas195      Pavarde195      10	5	2	9	6	4	10	8	7	2	
Vardas196      Pavarde196      10	9	6	4	7	8	10	5	3	7	
Vardas197      Pavarde197      8	8	10	8	10	4	5	5	9	9	
Vardas198      Pavarde198      5	1	9	8	5	2	9	3	10	10	
Vardas199      Pavarde199      10	8	5	8	4	4	7	2	3	2	
Vardas200      Pavarde200      4	10	8	3	2	9	2	8	7	1	
Vardas201      Pavarde201      9	8	6	9	6	7	6	8	8	8	
Vardas202      Pavarde202      2	4	1	5	10	10	4	3	6	10	
Vardas203      Pavarde203      10	6	6	1	4	10	4	7	1	8	
Vardas204      Pavarde204      8	5	5	2	9	10	8	4	7	9	
Vardas205      Pavarde205      4	2	9	4	5	5	1	2	6	1	
Vardas206      Pavarde206      8	3	3	9	10	7	9	10	2	8	
Vardas207      Pavarde207      7	10	2	6	6	6	1	8	3	10	
Vardas208      Pavarde208      2	6	5	7	4	10	1	9	7	3	
Vardas209      Pavarde209      4	4	2	3	4	4	8	5	3	8	
Vardas210      Pavarde210      9	1	10	8	3	7	3	5	5	4	
Vardas211      Pavarde211      5	2	6	2	9	5	6	2	10	6	
Vardas212      Pavarde212      7	10	1	1	9	10	10	7	1	10	
Vardas213      Pavarde213      7	4	5	9	7	3	5	9	2	4	
Vardas214      Pavarde214      3	3	10	4	2	6	8	6	4	6	
Vardas215      Pavarde215      4	4	4	10	5	8	2	9	9	9	
Vardas216      Pavarde216      1	4	9	5	1	3	3	4	4	8	
Vardas217      Pavarde217      3	7	5	7	4	4	9	7	9	6	
Vardas218      Pavarde218      1	4	10	3	9	4	3	4	6	5	
Vardas219      Pavarde219      10	10	2	10	2	7	3	10	1	4	
Vardas220      Pavarde220      8	5	9	1	6	1	8	4	2	9	
Vardas221      Pavarde221      9	6	10	7	4	4	5	1	10	8	
Vardas222      Pavarde222      2	1	5	1	2	5	1	6	4	9	
Vardas223      Pavarde223      2	2	3	7	5	2	9	6	9	8	
Vardas224      Pavarde224      1	9	7	4	9	1	7	8	3	4	
Vardas225      Pavarde225      5	6	1	8	1	3	10	4	2	1	
Vardas226      Pavarde226      4	5	2	5	1	5	2	8	4	7	
Vardas227      Pavarde227      8	8	7	2	7	2	7	2	3	7	
Vardas228      Pavarde228      2	6	4	10	6	7	7	4	10	8	
Vardas229      Pavarde229      8	1	5	7	9	2	2	7	6	5	
Vardas230      Pavarde230      1	6	1	2	8	3	6	3	10	7	
Vardas231      Pavarde231      6	9	10	10	5	10	3	9	4	9	
Vardas232      Pavarde232      5	6	5	8	1	7	6	2	8	8	
Vardas233      Pavarde233      1	2	3	8	6	6	4	2	5	9	
Vardas234      Pavarde234      7	9	8	6	1	6	9	9	10	8	
Vardas235      Pavarde235      7	7	3	8	10	2	7	10	4	5	
Vardas236      Pavarde236      2	8	9	4	4	1	4	8	8	8	
Vardas237      Pavarde237      8	5	7	2	5	9	2	1	10	2	
Vardas238      Pavarde238      9	9	7	2	3	6	3	6	1	7	
Vardas239      Pavarde239      10	9	4	3	1	5	9	10	6	1	
Vardas240      Pavarde240      2	2	8	8	9	2	5	6	4	1	
Vardas241      Pavarde241      1	2	9	7	5	9	7	8	4	2	
Vardas242      Pavarde242      7	5	2	6	4	1	6	1	3	7	
Vardas243      Pavarde243      2	2	2	1	3	3	10	5	7	2	
Vardas244      Pavarde244      8	4	3	9	6	1	8	10	9	5	
Vardas245      Pavarde245      7	5	9	6	9	6	6	4	2	5	
Vardas246      Pavarde246      10	7	8	2	5	4	5	6	10	1	
Vardas247      Pavarde247      5	2	10	2	6	2	10	6	2	9	
Vardas248      Pavarde248      4	6	1	7	6	3	7	8	7	5	
Vardas249      Pavarde249      7	2	4	8	10	7	2	9	6	8	
Vardas250      Pavarde250      2	7	3	8	6	5	5	9	10	8	
Vardas251      Pavarde251      4	8	3	9	4	8	2	9	3	5	
Vardas252      Pavarde252      5	5	7	4	10	3	10	9	2	3	
Vardas253      Pavarde253      9	4	8	2	7	4	2	10	6	9	
Vardas254      Pavarde254      3	3	7	7	10	2	4	1	2	7	
Vardas255      Pavarde255      5	2	5	1	1	3	2	8	1	9	
Vardas256      Pavarde256      10	8	10	10	9	10	8	9	10	10	
Vardas257      Pavarde257      10	2	9	6	5	6	6	2	8	9	
Vardas258      Pavarde258      8	9	7	2	8	9	1	1	4	2	
Vardas259      Pavarde259      6	7	7	6	7	10	9	3	7	10	
Vardas260      Pavarde260      9	6	9	10	8	7	10	1	7	7	
Vardas261      Pavarde261      8	5	10	5	7	8	9	7	6	2	
Vardas262      Pavarde262      4	7	3	8	3	1	2	9	8	8	
Vardas263      Pavarde263      6	7	10	10	1	6	6	5	2	4	
Vardas264      Pavarde264      1	5	3	3	3	6	5	7	7	7	
Vardas265      Pavarde265      9	3	2	7	8	5	1	4	5	6	
Vardas266      Pavarde266      8	8	4	10	8	4	3	2	2	6	
Vardas267      Pavarde267      1	9	8	2	9	6	9	9	3	5	
Vardas268      Pavarde268      1	3	6	1	10	9	1	3	8	7	
Vardas269      Pavarde269      5	6	5	4	2	7	1	1	4	6	
Vardas270      Pavarde270      10	5	2	3	1	7	8	8	2	5	
Vardas271      Pavarde271      3	4	3	5	6	8	1	4	3	7	
Vardas272      Pavarde272      2	9	9	4	7	6	5	8	4	2	
Vardas273      Pavarde273      10	3	4	1	4	1	6	2	7	4	
Vardas274      Pavarde274      10	5	10	10	10	10	4	1	3	10	
Vardas275      Pavarde275      8	2	8	8	4	9	5	6	6	8	
Vardas276      Pavarde276      7	4	9	5	3	1	2	2	10	10	
Vardas277      Pavarde277      9	3	10	5	10	2	1	9	8	5	
Vardas278      Pavarde278      7	2	1	2	10	4	9	4	6	7	
Vardas279      Pavarde279      8	8	5	10	9	10	6	1	6	8	
Vardas280      Pavarde280      4	2	4	5	8	3	1	9	8	3	
Vardas281      Pavarde281      5	3	4	6	9	1	5	7	7	5	
Vardas282      Pavarde282      6	5	8	3	3	10	10	2	2	8	
Vardas283      Pavarde283      9	7	3	10	3	1	9	8	7	8	
Vardas284      Pavarde284      7	4	7	6	5	9	6	7	4	6	
Vardas285      Pavarde285      5	5	10	9	4	3	8	5	7	6	
Vardas286      Pavarde286      1	2	10	2	1	10	5	6	2	5	
Vardas287      Pavarde287      5	6	9	10	10	2	2	6	9	2	
Vardas288      Pavarde288      9	10	7	9	10	5	9	2	5	10	
Vardas289      Pavarde289      1	7	3	10	3	9	2	5	5	8	
Vardas290      Pavarde290      5	4	7	2	2	8	7	7	1	6	
Vardas291      Pavarde291      1	6	2	7	4	3	8	4	7	10	
Vardas292      Pavarde292      10	6	3	4	9	5	7	1	3	4	
Vardas293      Pavarde293      4	6	10	9	1	6	6	3	9	1	
Vardas294      Pavarde294      7	10	7	4	9	7	3	9	6	5	
Vardas295      Pavarde295      2	8	3	4	5	3	4	9	1	3	
Vardas296      Pavarde296      5	8	8	8	5	1	2	7	9	9	
Vardas297      Pavarde297      6	6	4	4	10	6	8	1	6	8	
Vardas298      Pavarde298      5	6	3	1	1	4	8	7	9	3	
Vardas299      Pavarde299      5	10	4	3	7	1	1	2	7	1	
Vardas300      Pavarde300      4	5	3	7	1	3	9	7	5	3	
Vardas301      Pavarde301      1	8	2	9	3	3	5	5	3	4	
Vardas302      Pavarde302      2	1	4	1	1	3	2	6	7	4	
Vardas303      Pavarde303      1	9	3	10	7	9	7	10	8	10	
Vardas304      Pavarde304      3	8	4	4	5	4	6	7	4	5	
Vardas305      Pavarde305      1	5	6	5	9	6	1	2	9	3	
Vardas306      Pavarde306      5	3	5	4	7	7	10	8	4	2	
Vardas307      Pavarde307      7	3	5	5	5	7	1	8	5	10	
Vardas308      Pavarde308      5	8	6	1	1	7	4	10	8	9	
Vardas309      Pavarde309      8	6	8	7	4	4	4	8	2	10	
Vardas310      Pavarde310      5	1	7	9	4	7	7	9	8	5	
Vardas311      Pavarde311      10	1	1	10	1	1	8	9	3	7	
Vardas312      Pavarde312      2	9	2	9	7	9	4	4	7	10	
Vardas313      Pavarde313      5	7	1	6	9	1	4	10	5	6	
Vardas314      Pavarde314      5	9	1	3	8	2	2	2	4	6	
Vardas315      Pavarde315      1	7	6	5	9	5	7	7	6	5	
Vardas316      Pavarde316      1	3	1	1	2	2	3	8	1	4	
Vardas317      Pavarde317      2	10	10	10	5	1	4	9	10	10	
Vardas318      Pavarde318      2	7	7	10	8	9	1	9	1	7	
Vardas319      Pavarde319      4	4	5	6	9	7	10	7	8	5	
Vardas320      Pavarde320      3	3	10	3	9	9	3	5	7	9	
Vardas321      Pavarde321      4	8	2	2	4	2	2	5	3	1	
Vardas322      Pavarde322      6	9	5	10	2	7	2	10	10	7	
Vardas323      Pavarde323      10	10	10	1	2	7	1	10	5	9	
Vardas324      Pavarde324      5	7	1	5	1	7	7	6	4	2	
Vardas325      Pavarde325      4	1	6	7	8	5	2	2	10	8	
Vardas326      Pavarde326      2	7	2	5	1	2	8	5	8	8	
Vardas327      Pavarde327      9	5	5	9	3	7	10	7	2	4	
Vardas328      Pavarde328      4	7	10	9	10	8	7	4	4	5	
Vardas329      Pavarde329      7	10	4	8	5	7	1	7	5	5	
Vardas330      Pavarde330      7	8	1	8	5	10	4	2	9	4	
Vardas331      Pavarde331      1	9	1	9	3	2	6	1	9	3	
Vardas332      Pavarde332      10	5	5	5	3	9	4	5	10	6	
Vardas333      Pavarde333      9	4	10	7	4	5	3	9	2	4	
Vardas334      Pavarde334      5	7	8	9	6	10	5	8	9	8	
Vardas335      Pavarde335      9	9	6	5	8	4	9	8	9	4	
Vardas336      Pavarde336      8	6	9	7	8	1	1	4	6	5	
Vardas337      Pavarde337      2	9	3	10	2	6	5	5	2	4	
Vardas338      Pavarde338      6	4	10	5	1	8	7	3	8	8	
Vardas339      Pavarde339      4	5	2	4	6	5	10	1	1	10	
Vardas340      Pavarde340      8	7	10	6	10	2	5	3	3	6	
Vardas341      Pavarde341      8	2	9	2	1	10	5	6	10	4	
Vardas342      Pavarde342      3	8	4	6	6	8	4	5	7	2	
Vardas343      Pavarde343      10	4	4	2	2	4	7	9	1	8	
Vardas344      Pavarde344      9	9	3	4	9	10	9	2	6	4	
Vardas345      Pavarde345      10	10	6	6	5	4	2	3	5	7	
Vardas346      Pavarde346      1	3	4	10	10	3	6	8	2	2	
Vardas347      Pavarde347      6	9	7	1	1	4	3	3	6	8	
Vardas348      Pavarde348      3	8	10	10	8	5	9	10	5	8	
Vardas349      Pavarde349      4	10	6	5	10	9	1	1	1	10	
Vardas350      Pavarde350      10	7	2	3	6	2	8	10	3	10	
Vardas351      Pavarde351      7	5	3	5	4	9	2	1	4	1	
Vardas352      Pavarde352      10	5	8	3	9	2	4	8	7	7	
Vardas353      Pavarde353      6	5	2	1	7	3	7	8	9	8	
Vardas354      Pavarde354      7	2	8	2	9	7	2	3	1	2	
Vardas355      Pavarde355      3	4	7	8	1	8	7	8	3	7	
Vardas356      Pavarde356      5	7	9	5	4	7	1	10	3	4	
Vardas357      Pavarde357      7	7	9	7	3	2	10	4	4	1	
Vardas358      Pavarde358      3	10	8	4	5	4	7	9	9	5	
Vardas359      Pavarde359      8	10	6	1	10	2	8	4	5	7	
Vardas360      Pavarde360      6	8	4	2	3	10	10	1	3	5	
Vardas361      Pavarde361      3	1	7	9	6	8	4	3	7	9	
Vardas362      Pavarde362      8	6	8	8	2	9	1	3	8	2	
Vardas363      Pavarde363      9	8	2	8	4	6	8	1	2	6	
Vardas364      Pavarde364      1	9	10	5	3	6	7	3	9	7	
Vardas365      Pavarde365      3	6	10	6	3	6	7	1	10	7	
Vardas366      Pavarde366      6	1	7	3	8	9	1	7	7	1	
Vardas367      Pavarde367      3	5	5	2	5	3	9	4	3	7	
Vardas368      Pavarde368      1	2	2	7	2	7	4	7	1	2	
Vardas369      Pavarde369      10	3	8	1	7	3	6	5	4	10	
Vardas370      Pavarde370      7	1	2	8	4	9	1	7	7	6	
Vardas371      Pavarde371      7	5	10	9	7	8	6	7	3	6	
Vardas372      Pavarde372      4	6	10	1	1	1	8	4	4	7	
Vardas373      Pavarde373      8	9	10	3	3	3	5	3	2	6	
Vardas374      Pavarde374      1	9	3	9	3	6	5	7	9	2	
Vardas375      Pavarde375      7	7	8	1	7	2	3	2	3	10	
Vardas376      Pavarde376      4	1	2	1	1	6	1	8	1	3	
Vardas377      Pavarde377      5	7	2	7	3	8	2	9	2	9	
Vardas378      Pavarde378      1	3	1	7	10	2	10	7	2	4	
Vardas379      Pavarde379      6	10	3	6	7	6	7	9	5	5	
Vardas380      Pavarde380      3	6	3	8	10	2	9	7	1	6	
Vardas381      Pavarde381      1	2	1	4	9	2	4	5	7	3	
Vardas382      Pavarde382      7	3	3	9	5	4	8	4	8	4	
Vardas383      Pavarde383      5	6	5	3	2	4	8	2	2	8	
Vardas384      Pavarde384      7	2	5	4	2	2	4	3	8	8	
Vardas385      Pavarde385      5	9	2	7	6	4	4	3	7	3	
Vardas386      Pavarde386      10	7	3	10	7	3	5	1	1	10	
Vardas387      Pavarde387      2	10	8	8	2	1	9	9	4	10	
Vardas388      Pavarde388      2	1	4	5	5	3	1	3	4	9	
Vardas389      Pavarde389      5	4	3	10	8	5	1	7	5	6	
Vardas390      Pavarde390      1	7	8	2	3	4	2	6	2	4	
Vardas391      Pavarde391      5	7	7	3	9	3	1	7	6	5	
Vardas392      Pavarde392      8	7	7	1	9	9	6	2	6	7	
Vardas393      Pavarde393      4	1	5	10	8	2	7	5	4	8	
Vardas394      Pavarde394      6	4	6	6	5	9	4	8	8	2	
Vardas395      Pavarde395      4	7	6	9	9	6	9	3	6	4	
Vardas396      Pavarde396      8	2	4	4	8	2	10	4	3	5	
Vardas397      Pavarde397      2	5	9	9	8	1	6	7	10	7	
Vardas398      Pavarde398      5	6	1	8	10	8	3	9	6	1	
Vardas399      Pavarde399      5	5	6	6	2	3	6	2	8	3	
Vardas400      Pavarde400      10	3	5	3	10	3	5	8	8	1	
Vardas401      Pavarde401      4	5	3	8	7	1	4	1	2	3	
Vardas402      Pavarde402      8	4	9	7	3	5	5	7	6	6	
Vardas403      Pavarde403      6	9	8	8	8	7	1	9	1	5	
Vardas404      Pavarde404      10	8	8	6	9	1	2	6	2	8	
Vardas405      Pavarde405      8	6	7	6	3	7	4	3	7	2	
Vardas406      Pavarde406      4	1	1	10	4	10	2	4	4	4	
Vardas407      Pavarde407      10	1	2	4	4	3	7	6	4	6	
Vardas408      Pavarde408      3	9	1	6	1	4	7	9	2	8	
