Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas118      Pavarde118      3	3	9	3	2	8	8	3	3	7	
Vardas119      Pavarde119      10	8	4	6	4	8	1	8	3	7	
Vardas120      Pavarde120      9	4	3	1	10	9	2	10	4	6	
Vardas121      Pavarde121      2	8	1	1	4	3	5	9	4	4	
Vardas122      Pavarde122      3	8	4	5	8	4	9	5	4	5	
Vardas123      Pavarde123      9	7	5	2	1	4	1	6	7	8	
Vardas124      Pavarde124      8	3	7	7	3	4	9	5	5	9	
Vardas125      Pavarde125      9	10	6	1	7	3	7	4	8	1	
Vardas126      Pavarde126      7	9	3	9	1	4	4	6	5	5	
Vardas127      Pavarde127      2	8	5	2	8	4	9	10	8	2	
Vardas128      Pavarde128      1	7	3	2	4	3	8	6	1	9	
Vardas129      Pavarde129      5	7	8	1	6	8	10	5	8	3	
Vardas130      Pavarde130      10	7	2	6	7	10	4	7	6	4	
Vardas131      Pavarde131      6	7	8	8	9	2	5	10	6	1	
Vardas132      Pavarde132      5	8	1	7	6	8	7	5	8	7	
Vardas133      Pavarde133      7	8	8	1	9	5	8	10	5	1	
Vardas134      Pavarde134      1	5	2	5	1	7	8	2	6	5	
Vardas135      Pavarde135      7	10	7	6	3	6	3	4	6	8	
Vardas136      Pavarde136      3	10	4	3	1	7	7	4	3	3	
Vardas137      Pavarde137      2	4	8	10	10	5	7	3	5	6	
Vardas138      Pavarde138      3	7	8	3	5	4	2	6	1	8	
Vardas139      Pavarde139      3	4	6	2	3	9	1	6	2	4	
Vardas140      Pavarde140      10	8	3	6	2	2	9	5	1	5	
Vardas141      Pavarde141      10	1	10	2	10	7	4	2	10	6	
Vardas142      Pavarde142      4	2	6	3	7	8	3	6	9	9	
Vardas143      Pavarde143      1	8	8	4	3	2	2	5	6	8	
Vardas144      Pavarde144      2	6	4	9	2	4	9	3	8	9	
Vardas145      Pavarde145      1	2	5	5	8	3	4	5	5	6	
Vardas146      Pavarde146      3	4	4	2	8	5	6	9	6	7	
Vardas147      Pavarde147      5	2	8	7	6	2	7	8	6	4	
Vardas148      Pavarde148      7	2	8	3	4	10	7	10	4	8	
Vardas149      Pavarde149      7	4	4	7	2	10	10	6	10	2	
Vardas150      Pavarde150      3	8	2	1	9	3	1	2	8	7	
Vardas151      Pavarde151      8	7	10	4	10	7	3	7	9	10	
Vardas152      Pavarde152      1	10	1	6	10	1	4	4	1	2	
Vardas153      Pavarde153      2	7	4	10	6	6	9	8	5	6	
Vardas154      Pavarde154      8	3	1	10	5	5	5	3	2	6	
Vardas155      Pavarde155      9	2	9	7	4	6	1	6	1	3	
Vardas156      Pavarde156      1	6	5	5	4	6	4	3	1	1	
Vardas157      Pavarde157      9	6	1	4	4	2	6	1	5	10	
Vardas158      Pavarde158      8	6	6	6	3	6	2	7	7	8	
Vardas159      Pavarde159      6	4	4	9	2	3	4	9	8	10	
Vardas160      Pavarde160      3	3	5	8	5	6	4	6	3	7	
Vardas161      Pavarde161      7	9	3	6	8	3	9	8	2	1	
Vardas162      Pavarde162      8	10	1	5	10	6	7	7	8	9	
Vardas163      Pavarde163      2	1	1	8	8	10	4	7	4	10	
Vardas164      Pavarde164      5	5	3	5	3	3	7	1	9	6	
Vardas165      Pavarde165      5	10	3	5	2	9	2	5	9	8	
Vardas166      Pavarde166      5	2	3	1	7	7	10	9	9	3	
Vardas167      Pavarde167      6	8	8	4	8	7	9	5	10	7	
Vardas168      Pavarde168      3	6	9	4	3	3	3	9	2	4	
Vardas169      Pavarde169      10	6	3	7	8	6	9	6	2	8	
Vardas170      Pavarde170      1	6	4	8	2	7	7	5	7	9	
Vardas171      Pavarde171      10	9	2	7	7	5	3	9	9	1	
Vardas172      Pavarde172      8	5	4	8	5	7	3	4	4	6	
Vardas173      Pavarde173      4	9	7	8	3	9	10	7	2	6	
Vardas174      Pavarde174      2	9	4	10	3	9	3	9	5	3	
Vardas175      Pavarde175      4	7	1	10	8	3	3	5	3	5	
Vardas176      Pavarde176      6	7	10	3	2	10	6	4	9	10	
Vardas177      Pavarde177      3	1	8	7	1	10	4	10	8	4	
Vardas178      Pavarde178      5	10	9	8	8	9	6	5	9	2	
Vardas179      Pavarde179      8	9	4	10	9	7	7	4	6	7	
Vardas180      Pavarde180      4	8	10	9	1	8	1	2	1	10	
Vardas181      Pavarde181      9	9	8	9	6	1	6	10	10	7	
Vardas182      Pavarde182      10	4	1	6	3	5	7	4	10	7	
Vardas183      Pavarde183      5	9	1	6	5	6	9	4	5	4	
Vardas184      Pavarde184      7	5	3	8	6	2	2	2	8	2	
Vardas185      Pavarde185      3	4	2	4	6	4	2	1	10	8	
Vardas186      Pavarde186      5	1	7	3	7	7	10	3	2	5	
Vardas187      Pavarde187      7	9	7	5	2	1	10	10	6	6	
Vardas188      Pavarde188      6	4	4	6	3	8	6	8	2	3	
Vardas189      Pavarde189      2	3	2	6	5	3	2	8	8	6	
Vardas190      Pavarde190      5	9	1	8	4	9	2	2	9	9	
Vardas191      Pavarde191      2	3	9	6	10	2	5	9	8	1	
Vardas192      Pavarde192      4	6	10	1	4	5	3	8	7	8	
Vardas193      Pavarde193      10	4	10	10	10	9	4	3	7	3	
Vardas194      Pavarde194      4	9	1	2	6	1	4	8	4	5	
Vardas195      Pavarde195      5	6	4	2	10	8	6	9	10	1	
Vardas196      Pavarde196      9	9	10	5	3	10	1	1	9	3	
Vardas197      Pavarde197      8	5	7	4	2	10	3	1	8	1	
Vardas198      Pavarde198      1	1	6	5	6	4	3	5	5	4	
Vardas199      Pavarde199      2	8	1	6	8	2	6	10	6	6	
Vardas200      Pavarde200      9	3	2	8	4	8	7	5	8	8	
Vardas201      Pavarde201      7	9	7	9	10	8	1	6	8	6	
Vardas202      Pavarde202      9	10	10	4	9	6	7	9	5	2	
Vardas203      Pavarde203      8	8	8	7	10	1	3	1	9	8	
Vardas204      Pavarde204      1	1	1	2	2	8	2	10	9	3	
Vardas205      Pavarde205      1	3	10	1	1	9	1	10	7	2	
Vardas206      Pavarde206      7	4	9	6	9	6	1	2	2	1	
Vardas207      Pavarde207      3	2	2	1	9	8	8	6	1	3	
Vardas208      Pavarde208      2	3	9	2	1	9	6	9	8	4	
Vardas209      Pavarde209      7	10	7	5	8	9	3	6	2	8	
Vardas210      Pavarde210      6	2	1	4	9	8	8	3	2	3	
Vardas211      Pavarde211      10	5	2	3	7	6	6	1	4	5	
Vardas212      Pavarde212      3	7	5	8	7	8	7	10	4	5	
Vardas213      Pavarde213      3	9	4	1	6	3	5	10	8	6	
Vardas214      Pavarde214      5	10	5	9	4	8	8	10	4	5	
Vardas215      Pavarde215      1	6	7	1	10	1	7	10	4	2	
Vardas216      Pavarde216      8	1	2	6	4	1	2	6	3	2	
Vardas217      Pavarde217      7	4	1	6	3	9	4	3	10	1	
Vardas218      Pavarde218      3	2	8	7	1	9	6	9	2	4	
Vardas219      Pavarde219      9	1	7	3	4	7	7	3	8	5	
Vardas220      Pavarde220      10	3	7	1	10	6	2	9	3	10	
Vardas221      Pavarde221      9	2	1	6	10	9	2	1	8	3	
Vardas222      Pavarde222      8	5	2	4	7	4	6	4	7	1	
Vardas223      Pavarde223      1	7	10	10	5	7	1	10	4	1	
Vardas224      Pavarde224      7	5	7	9	8	9	7	7	9	6	
Vardas225      Pavarde225      4	9	5	2	1	6	9	10	10	8	
Vardas226      Pavarde226      5	9	5	2	3	7	10	4	10	4	
Vardas227      Pavarde227      2	3	7	4	2	5	8	7	1	9	
Vardas228      Pavarde228      6	10	6	8	1	10	5	8	1	7	
Vardas229      Pavarde229      8	10	2	10	7	10	6	7	9	4	
Vardas230      Pavarde230      10	1	9	5	1	1	9	4	7	2	
Vardas231      Pavarde231      2	8	9	1	5	10	8	10	7	5	
Vardas232      Pavarde232      1	9	7	10	10	4	5	10	3	10	
Vardas233      Pavarde233      5	5	6	7	10	8	6	3	3	5	
Vardas234      Pavarde234      10	5	3	8	8	3	2	6	4	3	
Vardas235      Pavarde235      10	2	7	7	2	6	2	7	1	5	
Vardas236      Pavarde236      7	8	1	3	5	4	6	3	6	4	
Vardas237      Pavarde237      1	5	10	6	9	6	1	8	10	9	
Vardas238      Pavarde238      8	3	4	1	7	10	6	3	5	10	
Vardas239      Pavarde239      3	2	3	10	9	7	7	3	8	3	
Vardas240      Pavarde240      5	6	10	2	2	1	4	2	7	8	
Vardas241      Pavarde241      10	9	10	9	4	9	4	10	2	9	
Vardas242      Pavarde242      1	9	1	4	7	5	8	7	6	8	
Vardas243      Pavarde243      7	10	2	2	4	7	8	10	1	7	
Vardas244      Pavarde244      5	3	1	4	1	9	8	2	7	10	
Vardas245      Pavarde245      3	6	5	6	4	6	7	4	8	4	
Vardas246      Pavarde246      7	9	5	7	1	5	6	9	9	3	
Vardas247      Pavarde247      10	8	4	10	4	8	1	4	10	2	
Vardas248      Pavarde248      10	2	7	8	2	9	7	10	2	5	
Vardas249      Pavarde249      4	4	7	7	3	2	5	10	5	2	
Vardas250      Pavarde250      1	9	5	10	4	3	3	10	4	5	
Vardas251      Pavarde251      2	6	10	6	10	4	1	10	10	3	
Vardas252      Pavarde252      6	9	5	2	9	3	6	8	9	3	
Vardas253      Pavarde253      9	6	4	6	9	4	7	4	5	5	
Vardas254      Pavarde254      1	9	5	7	2	7	6	8	10	10	
Vardas255      Pavarde255      10	1	3	4	1	10	4	6	7	6	
Vardas256      Pavarde256      7	1	5	10	4	3	7	6	10	2	
Vardas257      Pavarde257      8	9	7	7	1	10	10	7	6	7	
Vardas258      Pavarde258      9	4	9	1	2	10	10	4	6	7	
Vardas259      Pavarde259      3	1	7	9	6	7	5	6	5	9	
Vardas260      Pavarde260      4	8	9	3	3	2	3	3	5	4	
Vardas261      Pavarde261      10	4	8	7	4	1	8	7	4	10	
Vardas262      Pavarde262      8	9	1	9	7	9	7	7	2	10	
Vardas263      Pavarde263      4	5	9	3	6	8	3	5	10	4	
Vardas264      Pavarde264      3	3	9	3	10	4	8	7	3	5	
Vardas265      Pavarde265      6	3	2	3	9	7	2	8	9	2	
Vardas266      Pavarde266      7	4	10	10	6	4	1	8	5	9	
Vardas267      Pavarde267      2	5	8	1	5	3	1	2	3	4	
Vardas268      Pavarde268      5	9	9	4	8	9	5	7	7	5	
Vardas269      Pavarde269      7	7	6	10	3	9	1	9	3	3	
Vardas270      Pavarde270      8	4	9	8	7	6	4	3	4	2	
Vardas271      Pavarde271      7	7	2	6	5	6	6	9	9	4	
Vardas272      Pavarde272      3	5	1	6	9	9	3	6	1	7	
Vardas273      Pavarde273      10	10	5	4	7	8	2	10	10	7	
Vardas274      Pavarde274      9	2	2	6	9	4	2	9	1	2	
Vardas275      Pavarde275      6	7	8	4	8	5	1	5	7	2	
Vardas276      Pavarde276      9	2	1	3	6	9	4	9	3	2	
Vardas277      Pavarde277      10	8	2	2	6	7	2	9	8	7	
Vardas278      Pavarde278      7	10	10	6	5	10	3	7	4	7	
Vardas279      Pavarde279      9	6	6	10	5	3	7	6	8	10	
Vardas280      Pavarde280      3	3	2	6	10	7	6	5	7	10	
Vardas281      Pavarde281      6	5	5	7	9	2	3	7	6	9	
Vardas282      Pavarde282      5	9	7	2	4	4	3	1	2	2	
Vardas283      Pavarde283      2	4	2	1	3	3	10	6	5	8	
Vardas284      Pavarde284      7	10	9	5	9	4	6	8	2	7	
Vardas285      Pavarde285      4	8	6	8	3	10	4	7	6	8	
Vardas286      Pavarde286      1	2	4	7	7	10	5	4	6	3	
Vardas287      Pavarde287      3	10	10	5	3	7	5	7	4	5	
Vardas288      Pavarde288      10	1	9	2	7	7	5	4	1	7	
Vardas289      Pavarde289      3	10	4	4	7	6	3	8	3	8	
Vardas290      Pavarde290      8	4	4	10	1	7	7	9	8	8	
Vardas291      Pavarde291      7	7	7	2	5	4	7	1	5	4	
Vardas292      Pavarde292      8	10	3	4	4	1	9	6	1	10	
Vardas293      Pavarde293      8	5	10	7	8	5	3	3	3	6	
Vardas294      Pavarde294      10	9	6	6	2	8	8	8	3	5	
Vardas295      Pavarde295      2	2	4	8	4	9	3	2	9	5	
Vardas296      Pavarde296      10	3	3	7	9	2	1	1	3	1	
Vardas297      Pavarde297      4	1	4	9	8	2	9	4	2	8	
Vardas298      Pavarde298      2	1	8	1	1	7	1	4	9	2	
Vardas299      Pavarde299      1	4	1	5	7	10	1	1	9	7	
Vardas300      Pavarde300      7	6	6	6	1	4	8	1	7	3	
Vardas301      Pavarde301      4	6	10	8	9	6	10	4	1	1	
Vardas302      Pavarde302      4	4	9	5	5	9	1	8	2	5	
Vardas303      Pavarde303      4	10	5	1	8	10	7	10	6	1	
Vardas304      Pavarde304      10	2	1	10	4	10	7	2	2	5	
Vardas305      Pavarde305      5	3	4	9	8	5	6	4	7	5	
Vardas306      Pavarde306      7	5	3	9	2	10	3	8	3	6	
Vardas307      Pavarde307      6	9	5	2	6	4	1	6	10	7	
Vardas308      Pavarde308      3	7	4	1	4	1	9	9	8	6	
Vardas309      Pavarde309      1	6	6	9	1	8	1	4	3	7	
Vardas310      Pavarde310      8	7	9	1	1	1	1	2	7	7	
Vardas311      Pavarde311      6	10	7	9	1	8	9	1	8	7	
Vardas312      Pavarde312      9	3	8	9	10	9	7	5	4	6	
Vardas313      Pavarde313      10	3	5	10	5	3	9	3	1	4	
Vardas314      Pavarde314      10	2	4	5	7	5	10	2	8	10	
Vardas315      Pavarde315      9	5	4	3	1	4	10	8	6	6	
Vardas316      Pavarde316      3	10	9	4	10	2	5	2	4	5	
Vardas317      Pavarde317      7	1	8	7	10	6	5	9	5	3	
Vardas318      Pavarde318      10	8	5	10	5	6	5	8	10	2	
Vardas319      Pavarde319      5	9	8	6	8	5	5	1	1	6	
Vardas320      Pavarde320      2	7	10	7	4	5	9	6	5	3	
Vardas321      Pavarde321      7	9	2	7	6	4	4	5	4	7	
Vardas322      Pavarde322      10	1	5	3	9	7	9	4	4	9	
Vardas323      Pavarde323      7	7	3	4	4	5	8	3	8	8	
Vardas324      Pavarde324      7	10	6	2	1	3	4	7	8	6	
Vardas325      Pavarde325      8	10	2	7	5	4	1	10	2	7	
Vardas326      Pavarde326      6	4	3	1	4	4	5	7	5	10	
Vardas327      Pavarde327      8	9	4	3	1	5	6	5	4	4	
Vardas328      Pavarde328      6	4	2	6	1	9	1	3	7	2	
Vardas329      Pavarde329      6	10	2	1	2	2	10	1	6	8	
Vardas330      Pavarde330      10	9	2	8	8	1	1	10	8	3	
Vardas331      Pavarde331      7	10	6	5	2	1	9	9	5	4	
Vardas332      Pavarde332      1	8	9	7	10	4	3	8	4	1	
Vardas333      Pavarde333      2	3	1	7	9	3	3	6	6	6	
Vardas334      Pavarde334      6	10	8	3	10	7	8	2	3	4	
Vardas335      Pavarde335      6	3	2	10	2	5	6	4	8	3	
Vardas336      Pavarde336      5	6	9	2	10	3	3	9	10	6	
Vardas337      Pavarde337      10	3	2	8	1	8	4	2	9	7	
Vardas338      Pavarde338      2	2	2	4	10	9	6	5	9	4	
Vardas339      Pavarde339      6	7	2	7	3	9	4	8	3	8	
Vardas340      Pavarde340      7	3	4	2	8	2	2	8	4	4	
Vardas341      Pavarde341      9	3	4	2	1	5	2	2	10	10	
Vardas342      Pavarde342      7	9	1	6	3	2	6	7	6	4	
Vardas343      Pavarde343      4	7	7	7	3	8	4	10	7	5	
Vardas344      Pavarde344      7	8	6	9	5	5	10	8	3	5	
Vardas345      Pavarde345      1	6	3	8	10	8	2	6	3	4	
Vardas346      Pavarde346      5	10	10	8	2	3	9	1	10	4	
Vardas347      Pavarde347      5	6	3	9	3	7	10	7	10	10	
Vardas348      Pavarde348      3	10	2	2	5	8	5	3	3	6	
Vardas349      Pavarde349      9	4	1	1	7	9	4	1	3	8	
Vardas350      Pavarde350      9	6	3	7	2	9	4	9	1	5	
Vardas351      Pavarde351      5	2	7	2	6	4	3	5	9	4	
Vardas352      Pavarde352      4	10	2	4	3	8	4	6	10	10	
Vardas353      Pavarde353      10	9	7	7	2	10	7	2	1	6	
Vardas354      Pavarde354      6	5	6	1	8	3	6	4	3	9	
Vardas355      Pavarde355      8	5	9	6	6	8	1	9	7	9	
Vardas356      Pavarde356      10	6	2	7	7	3	8	10	2	5	
Vardas357      Pavarde357      5	6	2	3	10	6	10	10	10	3	
Vardas358      Pavarde358      6	6	4	5	4	2	6	6	2	2	
Vardas359      Pavarde359      2	9	3	1	9	3	9	4	8	7	
Vardas360      Pavarde360      3	4	4	5	8	10	9	10	2	6	
Vardas361      Pavarde361      4	7	5	1	5	2	1	3	4	10	
Vardas362      Pavarde362      6	1	7	2	4	3	8	7	5	7	
Vardas363      Pavarde363      3	4	2	4	8	4	6	2	2	8	
Vardas364      Pavarde364      3	5	7	6	7	8	5	7	4	1	
Vardas365      Pavarde365      4	9	7	1	4	5	5	6	3	2	
Vardas366      Pavarde366      7	1	3	5	6	3	2	4	7	7	
Vardas367      Pavarde367      9	3	4	8	9	7	8	1	6	8	
Vardas368      Pavarde368      1	6	4	6	3	8	3	5	3	9	
Vardas369      Pavarde369      8	7	6	9	4	7	4	2	9	4	
Vardas370      Pavarde370      1	10	9	3	9	3	5	5	7	1	
Vardas371      Pavarde371      9	1	3	2	10	8	5	3	2	4	
Vardas372      Pavarde372      3	9	8	7	1	10	7	9	10	5	
Vardas373      Pavarde373      10	8	8	5	4	9	5	4	6	1	
Vardas374      Pavarde374      3	8	10	10	3	6	2	7	6	10	
Vardas375      Pavarde375      2	3	9	10	3	3	8	8	4	4	
Vardas376      Pavarde376      3	7	4	9	1	4	5	2	7	9	
Vardas377      Pavarde377      9	3	7	2	1	10	1	5	7	10	
Vardas378      Pavarde378      2	4	9	5	4	8	7	7	1	1	
Vardas379      Pavarde379      6	7	10	7	7	8	1	7	7	2	
Vardas380      Pavarde380      5	6	7	2	7	6	1	6	8	2	
Vardas381      Pavarde381      2	9	10	2	1	3	1	4	5	8	
Vardas382      Pavarde382      5	5	7	9	3	2	9	9	9	2	
Vardas383      Pavarde383      10	3	8	7	1	6	5	9	6	3	
Vardas384      Pavarde384      10	7	1	1	3	7	7	5	3	5	
Vardas385      Pavarde385      4	4	4	9	3	10	7	6	1	7	
Vardas386      Pavarde386      8	1	5	1	2	10	2	4	5	5	
Vardas387      Pavarde387      6	4	9	8	6	9	10	6	4	8	
Vardas388      Pavarde388      6	10	8	2	7	7	6	3	7	3	
Vardas389      Pavarde389      2	5	4	3	6	7	7	1	6	7	
Vardas390      Pavarde390      6	7	7	5	8	9	4	1	4	2	
Vardas391      Pavarde391      2	10	4	2	9	9	8	4	4	1	
Vardas392      Pavarde392      7	4	10	7	5	2	5	1	9	9	
Vardas393      Pavarde393      1	7	10	2	7	6	9	10	7	4	
Vardas394      Pavarde394      7	8	10	8	2	6	10	4	7	1	
Vardas395      Pavarde395      1	3	6	8	7	10	9	6	5	9	
Vardas396      Pavarde396      10	9	2	7	3	9	6	8	5	5	
Vardas397      Pavarde397      9	4	8	5	3	7	10	5	7	6	
Vardas398      Pavarde398      3	6	6	9	5	5	5	4	6	2	
Vardas399      Pavarde399      7	8	2	7	3	7	10	5	7	10	
Vardas400      Pavarde400      4	8	4	9	1	7	4	3	2	4	
Vardas401      Pavarde401      9	5	8	5	3	6	7	6	8	1	
Vardas402      Pavarde402      6	4	8	6	10	9	5	9	4	10	
Vardas403      Pavarde403      2	7	5	9	9	3	5	10	5	9	
Vardas404      Pavarde404      2	1	4	1	9	10	5	10	4	6	
Vardas405      Pavarde405      10	10	9	6	4	6	6	8	8	7	
Vardas406      Pavarde406      3	9	9	6	7	4	10	7	5	1	
Vardas407      Pavarde407      7	1	7	8	7	8	9	1	5	8	
Vardas408      Pavarde408      10	6	10	8	2	6	9	8	3	1	
